Question,Answer,Name
外面,wàimiànn.  outside,外面
准备,"zhǔnbèiv. to intend, to plan",准备
就,jiùadv.  used to indicate conclusion or resolution,就
鱼,yún.  fish,鱼
吧,"bapart.  used at the end of a sentence to indicate consultation, suggestion, request or command",吧
件,jiànm.  (used for clothes among other items) piece,件
还,"háiadv.  passably, fairly, rather",还
可以,kěyǐadj.  not bad,可以
不错,búcuòadj.  pretty good,不错
考试,"kǎoshìn.  test, exam",考试
意思,yìsin.  meaning,意思
咖啡,kāfēin.  coffee,咖啡
对,"duìprep.  (used before a noun or pronoun) to, foradj.  right, correct",对
以后,"yǐhòun.  after, afterwards, later",以后
