Question,Answer
"<p style=""text-align: center;""><span class=""large"">手表</span></p>","<p style=""text-align: center;""><span class=""large"">shǒubiǎo </span></p><p style=""text-align: center;""><span class=""large"">n.  watch</span></p>"
"<p style=""text-align: center;""><span class=""large"">千</span></p>","<p style=""text-align: center;""><span class=""large"">qiān	 </span></p><p style=""text-align: center;""><span class=""large"">num.  thousand</span></p>"
"<p style=""text-align: center;""><span class=""large"">报纸</span></p>","<p style=""text-align: center;""><span class=""large"">bàozhǐ </span></p><p style=""text-align: center;""><span class=""large"">n.  newspaper</span></p>"
"<p style=""text-align: center;""><span class=""large"">送</span></p>","<p style=""text-align: center;""><span class=""large"">sòng </span></p><p style=""text-align: center;""><span class=""large"">v.  to send, to deliver</span></p>"
"<p style=""text-align: center;""><span class=""large"">一下</span></p>","<p style=""text-align: center;""><span class=""large"">yíxià </span></p><p style=""text-align: center;""><span class=""large"">num.-m  used after a verb indicating an act or an attempt</span></p>"
"<p style=""text-align: center;""><span class=""large"">牛年</span></p>","<p style=""text-align: center;""><span class=""large"">niúnǎi </span></p><p style=""text-align: center;""><span class=""large"">n.  milk</span></p>"
"<p style=""text-align: center;""><span class=""large"">房间</span></p>","<p style=""text-align: center;""><span class=""large"">fángjiān </span></p><p style=""text-align: center;""><span class=""large"">n.  room</span></p>"
"<p style=""text-align: center;""><span class=""large"">丈夫</span></p>","<p style=""text-align: center;""><span class=""large"">zhàngfu </span></p><p style=""text-align: center;""><span class=""large"">n.  husband</span></p>"
"<p style=""text-align: center;""><span class=""large"">旁边</span></p>","<p style=""text-align: center;""><span class=""large"">pángbiān </span></p><p style=""text-align: center;""><span class=""large"">n. beside</span></p>"
"<p style=""text-align: center;""><span class=""large"">真</span></p>","<p style=""text-align: center;""><span class=""large"">zhēn </span></p><p style=""text-align: center;""><span class=""large"">adv.  really, indeed</span></p>"
"<p style=""text-align: center;""><span class=""large"">粉色</span></p>","<p style=""text-align: center;""><span class=""large"">fěnsè </span></p><p style=""text-align: center;""><span class=""large"">n.  pink</span></p>"
"<p style=""text-align: center;""><span class=""large"">颜色</span></p>","<p style=""text-align: center;""><span class=""large"">yánsè </span></p><p style=""text-align: center;""><span class=""large"">n.  color</span></p>"
"<p style=""text-align: center;""><span class=""large"">左边</span></p>","<p style=""text-align: center;""><span class=""large"">zuǒbian </span></p><p style=""text-align: center;""><span class=""large"">n.  left side</span></p>"
"<p style=""text-align: center;""><span class=""large"">红色</span></p>","<p style=""text-align: center;""><span class=""large"">hóngsè </span></p><p style=""text-align: center;""><span class=""large"">n.  red</span></p>"
