Question,Answer
"<p style=""text-align: center;""><span class=""large"">外面</span></p>","<p style=""text-align: center;""><span class=""large"">wàimiàn </span></p><p style=""text-align: center;""><span class=""large"">外面 </span></p><p style=""text-align: center;""><span class=""large"">n.  outside</span></p>"
"<p style=""text-align: center;""><span class=""large"">准备</span></p>","<p style=""text-align: center;""><span class=""large"">zhǔnbèi </span></p><p style=""text-align: center;""><span class=""large"">准备 </span></p><p style=""text-align: center;""><span class=""large"">v. to intend, to plan</span></p>"
"<p style=""text-align: center;""><span class=""large"">就</span></p>","<p style=""text-align: center;""><span class=""large"">jiù </span></p><p style=""text-align: center;""><span class=""large"">就 </span></p><p style=""text-align: center;""><span class=""large"">adv.  used to indicate conclusion or resolution</span></p>"
"<p style=""text-align: center;""><span class=""large"">鱼</span></p>","<p style=""text-align: center;""><span class=""large"">yú </span></p><p style=""text-align: center;""><span class=""large"">鱼 </span></p><p style=""text-align: center;""><span class=""large"">n.  fish</span></p>"
"<p style=""text-align: center;""><span class=""large"">吧</span></p>","<p style=""text-align: center;""><span class=""large"">ba </span></p><p style=""text-align: center;""><span class=""large"">吧 </span></p><p style=""text-align: center;""><span class=""large"">part.  used at the end of a sentence to indicate consultation, suggestion, request or command</span></p>"
"<p style=""text-align: center;""><span class=""large"">件</span></p>","<p style=""text-align: center;""><span class=""large"">jiàn </span></p><p style=""text-align: center;""><span class=""large"">件 </span></p><p style=""text-align: center;""><span class=""large"">m.  (used for clothes among other items) piece</span></p>"
"<p style=""text-align: center;""><span class=""large"">还</span></p>","<p style=""text-align: center;""><span class=""large"">hái </span></p><p style=""text-align: center;""><span class=""large"">还 </span></p><p style=""text-align: center;""><span class=""large"">adv.  passably, fairly, rather</span></p>"
"<p style=""text-align: center;""><span class=""large"">可以</span></p>","<p style=""text-align: center;""><span class=""large"">kěyǐ </span></p><p style=""text-align: center;""><span class=""large"">可以 </span></p><p style=""text-align: center;""><span class=""large"">adj.  not bad</span></p>"
"<p style=""text-align: center;""><span class=""large"">不错</span></p>","<p style=""text-align: center;""><span class=""large"">búcuò </span></p><p style=""text-align: center;""><span class=""large"">不错 </span></p><p style=""text-align: center;""><span class=""large"">adj.  pretty good</span></p>"
"<p style=""text-align: center;""><span class=""large"">考试</span></p>","<p style=""text-align: center;""><span class=""large"">kǎoshì </span></p><p style=""text-align: center;""><span class=""large"">考试 </span></p><p style=""text-align: center;""><span class=""large"">n.  test, exam</span></p>"
"<p style=""text-align: center;""><span class=""large"">意思</span></p>","<p style=""text-align: center;""><span class=""large"">yìsi </span></p><p style=""text-align: center;""><span class=""large"">意思 </span></p><p style=""text-align: center;""><span class=""large"">n.  meaning</span></p>"
"<p style=""text-align: center;""><span class=""large"">咖啡</span></p>","<p style=""text-align: center;""><span class=""large"">kāfēi </span></p><p style=""text-align: center;""><span class=""large"">咖啡 </span></p><p style=""text-align: center;""><span class=""large"">n.  coffee</span></p>"
"<p style=""text-align: center;""><span class=""large"">对</span></p>","<p style=""text-align: center;""><span class=""large"">duì </span></p><p style=""text-align: center;""><span class=""large"">对 </span></p><p style=""text-align: center;""><span class=""large"">prep.  (used before a noun or pronoun) to, foradj.  right, correct</span></p>"
"<p style=""text-align: center;""><span class=""large"">以后</span></p>","<p style=""text-align: center;""><span class=""large"">yǐhòu </span></p><p style=""text-align: center;""><span class=""large"">以后 </span></p><p style=""text-align: center;""><span class=""large"">n.  after, afterwards, later</span></p>"
