Question,Answer
"<p style=""text-align: center;""><span class=""large"">门</span></p>","<p style=""text-align: center;""><span class=""large"">mén </span></p><p style=""text-align: center;""><span class=""large"">门 </span></p><p style=""text-align: center;""><span class=""large"">n.  door,gate</span></p>"
"<p style=""text-align: center;""><span class=""large"">外</span></p>","<p style=""text-align: center;""><span class=""large"">wài </span></p><p style=""text-align: center;""><span class=""large"">外 </span></p><p style=""text-align: center;""><span class=""large"">n.  outer,outside</span></p>"
"<p style=""text-align: center;""><span class=""large"">自行车</span></p>","<p style=""text-align: center;""><span class=""large"">zìxíngchē </span></p><p style=""text-align: center;""><span class=""large"">自行车 </span></p><p style=""text-align: center;""><span class=""large"">n.  bike</span></p>"
"<p style=""text-align: center;""><span class=""large"">羊肉</span></p>","<p style=""text-align: center;""><span class=""large"">yángròu </span></p><p style=""text-align: center;""><span class=""large"">羊肉 </span></p><p style=""text-align: center;""><span class=""large"">n.  mutton</span></p>"
"<p style=""text-align: center;""><span class=""large"">好吃</span></p>","<p style=""text-align: center;""><span class=""large"">hǎochī </span></p><p style=""text-align: center;""><span class=""large"">好吃 </span></p><p style=""text-align: center;""><span class=""large"">adj.  delicious,yummy</span></p>"
"<p style=""text-align: center;""><span class=""large"">面条</span></p>","<p style=""text-align: center;""><span class=""large"">miàntiáo </span></p><p style=""text-align: center;""><span class=""large"">面条 </span></p><p style=""text-align: center;""><span class=""large"">n.  noodles</span></p>"
"<p style=""text-align: center;""><span class=""large"">打篮球</span></p>","<p style=""text-align: center;""><span class=""large"">dǎ lánqiú </span></p><p style=""text-align: center;""><span class=""large"">打篮球 </span></p><p style=""text-align: center;""><span class=""large"">phrw.  to play basketball</span></p>"
"<p style=""text-align: center;""><span class=""large"">因为</span></p>","<p style=""text-align: center;""><span class=""large"">yīnwèi </span></p><p style=""text-align: center;""><span class=""large"">因为 </span></p><p style=""text-align: center;""><span class=""large"">conj.  because,since</span></p>"
"<p style=""text-align: center;""><span class=""large"">所以</span></p>","<p style=""text-align: center;""><span class=""large"">suǒyǐ </span></p><p style=""text-align: center;""><span class=""large"">所以 </span></p><p style=""text-align: center;""><span class=""large"">conj.  so,therefore</span></p>"
"<p style=""text-align: center;""><span class=""large"">游泳</span></p>","<p style=""text-align: center;""><span class=""large"">yóu yǒng </span></p><p style=""text-align: center;""><span class=""large"">游泳 </span></p><p style=""text-align: center;""><span class=""large"">v.  to swim</span></p>"
"<p style=""text-align: center;""><span class=""large"">经常</span></p>","<p style=""text-align: center;""><span class=""large"">jīngcháng </span></p><p style=""text-align: center;""><span class=""large"">经常 </span></p><p style=""text-align: center;""><span class=""large"">adv.  often,frequently</span></p>"
"<p style=""text-align: center;""><span class=""large"">公斤</span></p>","<p style=""text-align: center;""><span class=""large"">gōngjīn </span></p><p style=""text-align: center;""><span class=""large"">公斤 </span></p><p style=""text-align: center;""><span class=""large"">m.  kilogram</span></p>"
"<p style=""text-align: center;""><span class=""large"">姐姐</span></p>","<p style=""text-align: center;""><span class=""large"">jiějie </span></p><p style=""text-align: center;""><span class=""large"">姐姐 </span></p><p style=""text-align: center;""><span class=""large"">n.  elder sister</span></p>"
