Question,Answer
"<p style=""text-align: center;""><span class=""large"">手表</span></p>","<p style=""text-align: center;""><span class=""large"">shǒubiǎo </span></p><p style=""text-align: center;""><span class=""large"">手表 </span></p><p style=""text-align: center;""><span class=""large"">n.  watch</span></p>"
"<p style=""text-align: center;""><span class=""large"">千</span></p>","<p style=""text-align: center;""><span class=""large"">qiān	 </span></p><p style=""text-align: center;""><span class=""large"">千 </span></p><p style=""text-align: center;""><span class=""large"">num.  thousand</span></p>"
"<p style=""text-align: center;""><span class=""large"">报纸</span></p>","<p style=""text-align: center;""><span class=""large"">bàozhǐ </span></p><p style=""text-align: center;""><span class=""large"">报纸 </span></p><p style=""text-align: center;""><span class=""large"">n.  newspaper</span></p>"
"<p style=""text-align: center;""><span class=""large"">送</span></p>","<p style=""text-align: center;""><span class=""large"">sòng </span></p><p style=""text-align: center;""><span class=""large"">送 </span></p><p style=""text-align: center;""><span class=""large"">v.  to send, to deliver</span></p>"
"<p style=""text-align: center;""><span class=""large"">一下</span></p>","<p style=""text-align: center;""><span class=""large"">yíxià </span></p><p style=""text-align: center;""><span class=""large"">一下 </span></p><p style=""text-align: center;""><span class=""large"">num.-m  used after a verb indicating an act or an attempt</span></p>"
"<p style=""text-align: center;""><span class=""large"">牛年</span></p>","<p style=""text-align: center;""><span class=""large"">niúnǎi </span></p><p style=""text-align: center;""><span class=""large"">牛年 </span></p><p style=""text-align: center;""><span class=""large"">n.  milk</span></p>"
"<p style=""text-align: center;""><span class=""large"">房间</span></p>","<p style=""text-align: center;""><span class=""large"">fángjiān </span></p><p style=""text-align: center;""><span class=""large"">房间 </span></p><p style=""text-align: center;""><span class=""large"">n.  room</span></p>"
"<p style=""text-align: center;""><span class=""large"">丈夫</span></p>","<p style=""text-align: center;""><span class=""large"">zhàngfu </span></p><p style=""text-align: center;""><span class=""large"">丈夫 </span></p><p style=""text-align: center;""><span class=""large"">n.  husband</span></p>"
"<p style=""text-align: center;""><span class=""large"">旁边</span></p>","<p style=""text-align: center;""><span class=""large"">pángbiān </span></p><p style=""text-align: center;""><span class=""large"">旁边 </span></p><p style=""text-align: center;""><span class=""large"">n. beside</span></p>"
"<p style=""text-align: center;""><span class=""large"">真</span></p>","<p style=""text-align: center;""><span class=""large"">zhēn </span></p><p style=""text-align: center;""><span class=""large"">真 </span></p><p style=""text-align: center;""><span class=""large"">adv.  really, indeed</span></p>"
"<p style=""text-align: center;""><span class=""large"">粉色</span></p>","<p style=""text-align: center;""><span class=""large"">fěnsè </span></p><p style=""text-align: center;""><span class=""large"">粉色 </span></p><p style=""text-align: center;""><span class=""large"">n.  pink</span></p>"
"<p style=""text-align: center;""><span class=""large"">颜色</span></p>","<p style=""text-align: center;""><span class=""large"">yánsè </span></p><p style=""text-align: center;""><span class=""large"">颜色 </span></p><p style=""text-align: center;""><span class=""large"">n.  color</span></p>"
"<p style=""text-align: center;""><span class=""large"">左边</span></p>","<p style=""text-align: center;""><span class=""large"">zuǒbian </span></p><p style=""text-align: center;""><span class=""large"">左边 </span></p><p style=""text-align: center;""><span class=""large"">n.  left side</span></p>"
"<p style=""text-align: center;""><span class=""large"">红色</span></p>","<p style=""text-align: center;""><span class=""large"">hóngsè </span></p><p style=""text-align: center;""><span class=""large"">红色 </span></p><p style=""text-align: center;""><span class=""large"">n.  red</span></p>"
"<p style=""text-align: center;""><span class=""large"">生日</span></p>","<p style=""text-align: center;""><span class=""large"">shēngrì </span></p><p style=""text-align: center;""><span class=""large"">生日 </span></p><p style=""text-align: center;""><span class=""large"">n.  birthday</span></p>"
"<p style=""text-align: center;""><span class=""large"">快乐</span></p>","<p style=""text-align: center;""><span class=""large"">kuàilè </span></p><p style=""text-align: center;""><span class=""large"">快乐 </span></p><p style=""text-align: center;""><span class=""large"">adj.  happy, glad</span></p>"
"<p style=""text-align: center;""><span class=""large"">给</span></p>","<p style=""text-align: center;""><span class=""large"">gěi </span></p><p style=""text-align: center;""><span class=""large"">给 </span></p><p style=""text-align: center;""><span class=""large"">prep. (used after a verb) to for</span></p>"
"<p style=""text-align: center;""><span class=""large"">姐</span></p>","<p style=""text-align: center;""><span class=""large"">jiē </span></p><p style=""text-align: center;""><span class=""large"">姐 </span></p><p style=""text-align: center;""><span class=""large"">v.  to receive, to take, to accept</span></p>"
"<p style=""text-align: center;""><span class=""large"">晚上</span></p>","<p style=""text-align: center;""><span class=""large"">wǎnshang </span></p><p style=""text-align: center;""><span class=""large"">晚上 </span></p><p style=""text-align: center;""><span class=""large"">n.  evening, night</span></p>"
"<p style=""text-align: center;""><span class=""large"">问</span></p>","<p style=""text-align: center;""><span class=""large"">wèn </span></p><p style=""text-align: center;""><span class=""large"">问 </span></p><p style=""text-align: center;""><span class=""large"">v. to ask</span></p>"
"<p style=""text-align: center;""><span class=""large"">非常</span></p>","<p style=""text-align: center;""><span class=""large"">fēicháng </span></p><p style=""text-align: center;""><span class=""large"">非常 </span></p><p style=""text-align: center;""><span class=""large"">adv.  very, extremely</span></p>"
"<p style=""text-align: center;""><span class=""large"">开始</span></p>","<p style=""text-align: center;""><span class=""large"">kāishǐ </span></p><p style=""text-align: center;""><span class=""large"">开始 </span></p><p style=""text-align: center;""><span class=""large"">v.  to begin, to start</span></p>"
"<p style=""text-align: center;""><span class=""large"">已经</span></p>","<p style=""text-align: center;""><span class=""large"">yǐjīng </span></p><p style=""text-align: center;""><span class=""large"">已经 </span></p><p style=""text-align: center;""><span class=""large"">adv.  already</span></p>"
"<p style=""text-align: center;""><span class=""large"">长</span></p>","<p style=""text-align: center;""><span class=""large"">cháng </span></p><p style=""text-align: center;""><span class=""large"">长 </span></p><p style=""text-align: center;""><span class=""large"">adj.  long</span></p>"
"<p style=""text-align: center;""><span class=""large"">两</span></p>","<p style=""text-align: center;""><span class=""large"">liǎng </span></p><p style=""text-align: center;""><span class=""large"">两 </span></p><p style=""text-align: center;""><span class=""large"">adj.  long</span></p>"
"<p style=""text-align: center;""><span class=""large"">帮</span></p>","<p style=""text-align: center;""><span class=""large"">bāng </span></p><p style=""text-align: center;""><span class=""large"">帮 </span></p><p style=""text-align: center;""><span class=""large"">v.  to help, to assist</span></p>"
"<p style=""text-align: center;""><span class=""large"">介绍</span></p>","<p style=""text-align: center;""><span class=""large"">jièshào </span></p><p style=""text-align: center;""><span class=""large"">介绍 </span></p><p style=""text-align: center;""><span class=""large"">v.  to introduce, to recommend</span></p>"
"<p style=""text-align: center;""><span class=""large"">外面</span></p>","<p style=""text-align: center;""><span class=""large"">wàimiàn </span></p><p style=""text-align: center;""><span class=""large"">外面 </span></p><p style=""text-align: center;""><span class=""large"">n.  outside</span></p>"
"<p style=""text-align: center;""><span class=""large"">准备</span></p>","<p style=""text-align: center;""><span class=""large"">zhǔnbèi </span></p><p style=""text-align: center;""><span class=""large"">准备 </span></p><p style=""text-align: center;""><span class=""large"">v. to intend, to plan</span></p>"
