Question,Answer
"<p style=""text-align: center;""><span class=""large"">教师</span></p>","<p style=""text-align: center;""><span class=""large"">jiàoshì </span></p><p style=""text-align: center;""><span class=""large"">教师 </span></p><p style=""text-align: center;""><span class=""large"">n.  classroom</span></p>"
"<p style=""text-align: center;""><span class=""large"">机场</span></p>","<p style=""text-align: center;""><span class=""large"">jīchǎng </span></p><p style=""text-align: center;""><span class=""large"">机场 </span></p><p style=""text-align: center;""><span class=""large"">n.  airport</span></p>"
"<p style=""text-align: center;""><span class=""large"">路</span></p>","<p style=""text-align: center;""><span class=""large"">lù </span></p><p style=""text-align: center;""><span class=""large"">路 </span></p><p style=""text-align: center;""><span class=""large"">n.  road,path,way</span></p>"
"<p style=""text-align: center;""><span class=""large"">离</span></p>","<p style=""text-align: center;""><span class=""large"">lí </span></p><p style=""text-align: center;""><span class=""large"">离 </span></p><p style=""text-align: center;""><span class=""large"">v.  to be away from</span></p>"
"<p style=""text-align: center;""><span class=""large"">公司</span></p>","<p style=""text-align: center;""><span class=""large"">gōngsī </span></p><p style=""text-align: center;""><span class=""large"">公司 </span></p><p style=""text-align: center;""><span class=""large"">n.  company, firm</span></p>"
"<p style=""text-align: center;""><span class=""large"">远</span></p>","<p style=""text-align: center;""><span class=""large"">yuǎn </span></p><p style=""text-align: center;""><span class=""large"">远 </span></p><p style=""text-align: center;""><span class=""large"">adj.  far,distant</span></p>"
"<p style=""text-align: center;""><span class=""large"">公共汽车</span></p>","<p style=""text-align: center;""><span class=""large"">gōnggòng qìchē </span></p><p style=""text-align: center;""><span class=""large"">公共汽车 </span></p><p style=""text-align: center;""><span class=""large"">n.  bus</span></p>"
"<p style=""text-align: center;""><span class=""large"">小时</span></p>","<p style=""text-align: center;""><span class=""large"">xiǎoshí </span></p><p style=""text-align: center;""><span class=""large"">小时 </span></p><p style=""text-align: center;""><span class=""large"">n.  hour</span></p>"
"<p style=""text-align: center;""><span class=""large"">慢</span></p>","<p style=""text-align: center;""><span class=""large"">màn </span></p><p style=""text-align: center;""><span class=""large"">慢 </span></p><p style=""text-align: center;""><span class=""large"">adj.  slow</span></p>"
"<p style=""text-align: center;""><span class=""large"">快</span></p>","<p style=""text-align: center;""><span class=""large"">kuài </span></p><p style=""text-align: center;""><span class=""large"">快 </span></p><p style=""text-align: center;""><span class=""large"">adj.  quick,fast</span></p>"
"<p style=""text-align: center;""><span class=""large"">过</span></p>","<p style=""text-align: center;""><span class=""large"">guò </span></p><p style=""text-align: center;""><span class=""large"">过 </span></p><p style=""text-align: center;""><span class=""large"">v. to pass (time), to spend (time)</span></p>"
"<p style=""text-align: center;""><span class=""large"">走</span></p>","<p style=""text-align: center;""><span class=""large"">zǒu </span></p><p style=""text-align: center;""><span class=""large"">走 </span></p><p style=""text-align: center;""><span class=""large"">v.  to walk</span></p>"
"<p style=""text-align: center;""><span class=""large"">到</span></p>","<p style=""text-align: center;""><span class=""large"">dào </span></p><p style=""text-align: center;""><span class=""large"">到 </span></p><p style=""text-align: center;""><span class=""large"">v.  to arrive,to reach</span></p>"
